,file,seed,best_reg,dof,all_accuracy,all_bal_acc,all_abs_err,train_accuracy,train_bal_acc,train_abs_err,test_accuracy,test_bal_acc,test_abs_err,spearman_corr,pearson_corr,precision,sensitivity
17,simdata_v2_TS0.1_SS0.7.h5ad,3263,0.021130332047562435,1071,0.4048865619546248,0.3487430918267718,1.2202360148707856,0.42330097087378643,0.36556929375928765,1.0677689504426666,0.2413793103448276,0.20172684458398743,2.5677001569858717,0.6395238652293945,0.4098629206684267,0.008403361344537815,0.004326923076923077
18,simdata_v2_TS0.1_SS0.7.h5ad,2095,0.02596126173419679,141,0.24607329842931938,0.2512903282428898,1.3597402394403795,0.2543689320388349,0.2603041449494024,1.2900285958200721,0.1724137931034483,0.17233560090702946,1.9781527995813712,0.48386819412231236,0.31959397770445397,0.0,0.0
19,simdata_v2_TS0.1_SS0.7.h5ad,5392,0.021130332047562435,731,0.41535776614310643,0.4081272016147734,1.0448033509856491,0.4388349514563107,0.43380745701894846,0.8472158875384994,0.20689655172413793,0.1800976800976801,2.7962454212454215,0.6137388342726103,0.3759363036236433,0.006839945280437756,0.002403846153846154
20,simdata_v2_TS0.1_SS0.9.h5ad,2387,0.021130332047562435,206,0.33158813263525305,0.28233835050423545,1.3430805306260827,0.3533980582524272,0.30289522324759777,1.2281753172037126,0.13793103448275862,0.10073260073260072,2.351691958834816,0.6390331670627929,0.6474986014202481,0.019417475728155338,0.001971414489896501
21,simdata_v2_TS0.1_SS0.9.h5ad,8212,0.021130332047562435,265,0.35951134380453753,0.30128355293396514,1.3573745731459232,0.3786407766990291,0.31834086184841703,1.218346947824333,0.1896551724137931,0.15253793825222398,2.571384964242107,0.666954741083205,0.623418093981185,0.0037735849056603774,0.0004928536224741252
22,simdata_v2_TS0.1_SS0.9.h5ad,6863,0.021130332047562435,222,0.31762652705061084,0.27893743003771787,1.4176185148240905,0.3300970873786408,0.2922634561499688,1.2909749676528954,0.20689655172413793,0.16352694924123495,2.529456654456655,0.5941620631953923,0.5297732336788206,0.013513513513513514,0.0014785608674223755
23,simdata_v2_TS0.1_SS0.9.h5ad,980,0.021130332047562435,921,0.36649214659685864,0.3027293860975925,1.4292988717662327,0.38058252427184464,0.3166276783581835,1.2778981043155193,0.2413793103448276,0.18096982382696666,2.752463806035235,0.6287690090524977,0.41102913765405785,0.009771986970684038,0.004435682602267127
24,simdata_v2_TS0.1_SS0.9.h5ad,8557,0.021130332047562435,1100,0.3403141361256545,0.274020586990332,1.4938710803244732,0.3553398058252427,0.28724008521225136,1.3419870741171487,0.20689655172413793,0.15750915750915753,2.821559392987965,0.6515244428665448,0.4613240584792323,0.00909090909090909,0.0049285362247412515
25,simdata_v2_TS0.3_SS0.1.h5ad,6910,0.013998044631816713,1672,0.47643979057591623,0.43697611306590317,0.9118614763321623,0.49320388349514566,0.45452420300314605,0.7628876817935665,0.3275862068965517,0.28266178266178266,2.230682016396303,0.6929345077091215,0.4824322080668464,0.05801435406698564,0.0159094636706577
26,simdata_v2_TS0.3_SS0.1.h5ad,8151,0.021130332047562435,411,0.38917975567190227,0.3597247735694017,1.0463555392497117,0.40388349514563104,0.3732467581206135,0.9179990324106482,0.25862068965517243,0.24018838304552587,2.1814713064713067,0.6349539236143757,0.4553094320244355,0.0681265206812652,0.004592422502870264
27,simdata_v2_TS0.3_SS0.1.h5ad,7960,0.017198352568978403,1470,0.44851657940663175,0.40453357318007505,1.021601070520379,0.47184466019417476,0.4281190362459767,0.8490891961903018,0.2413793103448276,0.19719169719169719,2.545896563753707,0.7222527185494878,0.5164571042570161,0.06054421768707483,0.014597342955551911
28,simdata_v2_TS0.3_SS0.1.h5ad,616,0.021130332047562435,253,0.4031413612565445,0.3654850449691172,1.0098542591272508,0.429126213592233,0.3923783419961436,0.8534072861934175,0.1724137931034483,0.1290772719344148,2.3865341008198158,0.6950552958725607,0.6003604600108852,0.08695652173913043,0.0036083319665409217
29,simdata_v2_TS0.3_SS0.1.h5ad,2905,0.021130332047562435,76,0.38394415357766143,0.33454324639220273,1.1636614783241341,0.3883495145631068,0.33864961662631154,1.1326981988911065,0.3448275862068966,0.30071515785801495,1.4271759986045705,0.9057308417543382,0.9251570490989863,0.25,0.0031162866983762507
30,simdata_v2_TS0.3_SS0.3.h5ad,9957,0.017198352568978403,182,0.26352530541012215,0.24842294986588745,1.1351933495447857,0.2737864077669903,0.25834047475438504,1.0654738303263365,0.1724137931034483,0.15838130123844407,1.756453863596721,0.7423754256214988,0.692933271438335,0.07142857142857142,0.002106627775076973
31,simdata_v2_TS0.3_SS0.3.h5ad,643,0.017198352568978403,466,0.3961605584642234,0.3270390842898928,1.1768219601443337,0.40194174757281553,0.3322730387840411,1.0537839751990719,0.3448275862068966,0.2806776556776557,2.2526382347810916,0.7341544294040782,0.6694018941913011,0.10944206008583691,0.008264462809917356
32,simdata_v2_TS0.3_SS0.3.h5ad,7119,0.017198352568978403,1358,0.44153577661431065,0.38779851688924055,1.0858066606760697,0.46990291262135925,0.4152810453268919,0.8902923952264562,0.1896551724137931,0.1465201465201465,2.8077359148787724,0.680598676001562,0.44990016295091356,0.055964653902798235,0.012315670069680765
33,simdata_v2_TS0.3_SS0.3.h5ad,3893,0.021130332047562435,242,0.38917975567190227,0.3427494828909528,1.1746649438711807,0.4174757281553398,0.369678109325282,1.0164879062915022,0.13793103448275862,0.10709924995639282,2.573085644514216,0.6029974367351458,0.5108375421601726,0.04132231404958678,0.0016204829039053639
34,simdata_v2_TS0.3_SS0.3.h5ad,5367,0.017198352568978403,299,0.418848167539267,0.35383347114752495,1.1083650685442226,0.42718446601941745,0.3632410053225971,1.0314571465611806,0.3448275862068966,0.2709750566893424,1.7777777777777781,0.8164297074397955,0.8315471576143323,0.15719063545150502,0.00761626964835521
35,simdata_v2_TS0.3_SS0.5.h5ad,9742,0.017198352568978403,667,0.43455497382198954,0.4033378444565778,0.9767796388202289,0.458252427184466,0.4257074642813289,0.819871818218394,0.22413793103448276,0.20390720390720388,2.3737789987789992,0.6542659230693965,0.4338351517577092,0.053973013493253376,0.00590744995077125
36,simdata_v2_TS0.3_SS0.5.h5ad,9686,0.021130332047562435,91,0.4118673647469459,0.3483463020512592,0.9945221902661867,0.4155339805825243,0.3527224100385277,0.9897745908982707,0.3793103448275862,0.31065759637188206,1.0325963718820863,0.9431718198797755,0.9291220708111796,0.31868131868131866,0.0047587791270101735
37,simdata_v2_TS0.3_SS0.5.h5ad,9185,0.021130332047562435,1107,0.38394415357766143,0.3278640217353187,1.3201189603288312,0.40194174757281553,0.34498500429450274,1.1634387620895354,0.22413793103448276,0.17791732077446362,2.6984126984126986,0.6538497258073304,0.45170052666180244,0.057813911472448055,0.010502133245815556
38,simdata_v2_TS0.3_SS0.5.h5ad,8527,0.017198352568978403,139,0.39790575916230364,0.3436583068740419,1.107691796228383,0.40388349514563104,0.35080512100947375,1.078484092248224,0.3448275862068966,0.2834467120181406,1.3574263038548755,0.9192022381908731,0.922484687980001,0.2805755395683453,0.006399737446668855
39,simdata_v2_TS0.3_SS0.5.h5ad,5182,0.021130332047562435,99,0.4223385689354276,0.3706106076849492,1.0240699889730487,0.429126213592233,0.3764454558606301,1.0031524079339156,0.3620689655172414,0.3189429618001047,1.2048665620094192,0.9188253325017467,0.9240375582822183,0.2828282828282828,0.004594683295044306
40,simdata_v2_TS0.3_SS0.7.h5ad,7526,0.017198352568978403,563,0.42408376963350786,0.3605227188208125,1.107319113672204,0.4446601941747573,0.3826448076245067,0.9628700882939786,0.2413793103448276,0.16666666666666669,2.3653628117913836,0.7158653503309359,0.6174393993424862,0.07104795737122557,0.0066945606694560665
41,simdata_v2_TS0.3_SS0.7.h5ad,4277,0.017198352568978403,1532,0.4467713787085515,0.39786832227886887,1.0238109830812574,0.46601941747572817,0.41898928230236443,0.8735805226463547,0.27586206896551724,0.21123321123321123,2.360718646432932,0.6761820097920214,0.4839131545119467,0.04503916449086162,0.011548117154811716
42,simdata_v2_TS0.3_SS0.7.h5ad,7060,0.021130332047562435,396,0.33158813263525305,0.2663730567423914,1.5239253887215103,0.3378640776699029,0.2732990790655885,1.4421236120179708,0.27586206896551724,0.20634920634920634,2.2301587301587302,0.8523925952734535,0.8615929757628593,0.1717171717171717,0.011380753138075314
43,simdata_v2_TS0.3_SS0.7.h5ad,2508,0.017198352568978403,123,0.42757417102966844,0.3707787173663945,0.9481869889161506,0.42718446601941745,0.36960527167374785,0.9365806119577703,0.43103448275862066,0.3832199546485261,1.0453514739229026,0.9300936580977444,0.9250734780236525,0.3333333333333333,0.0068619246861924684
44,simdata_v2_TS0.3_SS0.7.h5ad,5100,0.017198352568978403,1225,0.47643979057591623,0.43318337496936066,0.9698494174321298,0.5029126213592233,0.4621378600998556,0.8206731330169438,0.2413793103448276,0.1794871794871795,2.2893336821908252,0.699187161963308,0.5312987894066116,0.06448979591836734,0.013221757322175733
45,simdata_v2_TS0.5_SS0.1.h5ad,1405,0.017198352568978403,969,0.45200698080279234,0.40423127882106746,1.0213616388149138,0.47766990291262135,0.43147599255584324,0.8374745487633801,0.22413793103448276,0.1650968079539508,2.632718472004187,0.7151743034133533,0.5130350661272854,0.09081527347781218,0.008643551713977016
46,simdata_v2_TS0.5_SS0.1.h5ad,3416,0.013998044631816713,1079,0.5078534031413613,0.4776992324356337,0.7816604848317487,0.5339805825242718,0.5030777935635359,0.6569564913764463,0.27586206896551724,0.2542298970870399,1.8882129774986922,0.6998441476796732,0.4340473510961296,0.06209453197405004,0.006580885964050683
47,simdata_v2_TS0.5_SS0.1.h5ad,7726,0.013998044631816713,1112,0.462478184991274,0.420901613648165,0.9276610221962761,0.48349514563106794,0.44382953418238763,0.7755229953365737,0.27586206896551724,0.2191697191697192,2.2615122972265826,0.7325027800701406,0.5680299386588239,0.09172661870503597,0.010018662213927904
48,simdata_v2_TS0.5_SS0.1.h5ad,8785,0.013998044631816713,734,0.49912739965095987,0.45738600508714267,0.8469360992578207,0.5223300970873787,0.4818242618877023,0.686915245285979,0.29310344827586204,0.24297924297924298,2.25795831152974,0.7332323531404109,0.5951067648064574,0.0994550408719346,0.007170219035458206
49,simdata_v2_TS0.5_SS0.1.h5ad,4017,0.017198352568978403,403,0.39965095986038396,0.33840036698287906,1.2344279921764605,0.4077669902912621,0.34663091257520445,1.170119252879607,0.3275862068965517,0.26643990929705214,1.7962018140589568,0.8767817548305353,0.8918547586678408,0.20099255583126552,0.007955996464001571
50,simdata_v2_TS0.5_SS0.3.h5ad,7163,0.017198352568978403,121,0.4572425828970332,0.4060537980698548,0.7895537128262807,0.4601941747572815,0.4083143905441205,0.7713852814167886,0.43103448275862066,0.38810395953253096,0.9452293738008024,0.9011608363542983,0.9313612784004555,0.15702479338842976,0.0018684236404759563
51,simdata_v2_TS0.5_SS0.3.h5ad,5435,0.021130332047562435,55,0.4118673647469459,0.348830269754118,0.9951370746935094,0.4097087378640777,0.34489330637915544,1.003817949716538,0.43103448275862066,0.3854875283446712,0.9121315192743766,0.9743832977136515,0.9804680614134486,0.3090909090909091,0.0016717474677942767
52,simdata_v2_TS0.5_SS0.3.h5ad,8581,0.013998044631816713,451,0.4956369982547993,0.44721323391224155,0.854004696579922,0.5203883495145631,0.47424325008245477,0.7113518614289469,0.27586206896551724,0.2108843537414966,2.113945578231293,0.7633259984811511,0.6570672962701164,0.09312638580931264,0.0041301996263152715
53,simdata_v2_TS0.5_SS0.3.h5ad,9393,0.013998044631816713,1115,0.418848167539267,0.3632685946185588,1.080455610125153,0.42718446601941745,0.37173635515825626,0.9758666299456694,0.3448275862068966,0.29024943310657597,1.9980158730158732,0.7873061684835404,0.7122393745582675,0.12466367713004484,0.013668994001376732
