,files,seed,dof,mae,acc,bacc,cor_spearman,cor_pearson
39,~/data/simdata_v3_TS0.3_SS0.5.h5ad,3308,6,2.57068062827225,0.240837696335079,0.155982240224334,0.328267979053357,0.338105359145412
40,~/data/simdata_v3_TS0.3_SS0.5.h5ad,3024,4,2.72425828970332,0.228621291448517,0.143467310588357,0.309320648665921,0.313937467529281
41,~/data/simdata_v3_TS0.3_SS0.7.h5ad,1856,5,2.71204188481675,0.228621291448517,0.142857142857143,0.324499590492197,0.331998356985882
42,~/data/simdata_v3_TS0.3_SS0.7.h5ad,8347,3,2.71902268760907,0.228621291448517,0.142857142857143,0.332803868394559,0.310806896477485
43,~/data/simdata_v3_TS0.3_SS0.7.h5ad,4848,30,2.13089005235602,0.263525305410122,0.187853767461183,0.427566074099336,0.445914210238085
44,~/data/simdata_v3_TS0.3_SS0.7.h5ad,8048,6,2.67539267015707,0.228621291448517,0.143467310588357,0.320990435670124,0.327015570515545
45,~/data/simdata_v3_TS0.3_SS0.7.h5ad,8256,11,2.51657940663176,0.239092495636998,0.154505209439779,0.354371127364223,0.357804222369604
46,~/data/simdata_v3_TS0.5_SS0.1.h5ad,6677,39,1.79232111692845,0.291448516579407,0.211547260784364,0.631267740022822,0.657126088760649
47,~/data/simdata_v3_TS0.5_SS0.1.h5ad,9435,38,1.74869109947644,0.294938917975567,0.21908735206288,0.586459878028438,0.625550649833936
48,~/data/simdata_v3_TS0.5_SS0.1.h5ad,3698,66,1.56719022687609,0.317626527050611,0.237005055612619,0.641578978942202,0.680442427982891
49,~/data/simdata_v3_TS0.5_SS0.1.h5ad,4446,49,1.61605584642234,0.322862129144852,0.245401018003739,0.639466034786443,0.67572877027909
50,~/data/simdata_v3_TS0.5_SS0.1.h5ad,1015,58,1.59511343804538,0.307155322862129,0.230547655494054,0.628670986127842,0.662818934219035
51,~/data/simdata_v3_TS0.5_SS0.3.h5ad,9400,34,1.67015706806283,0.31413612565445,0.23050044715895,0.612267688150483,0.609707125081142
52,~/data/simdata_v3_TS0.5_SS0.3.h5ad,1605,54,1.42582897033159,0.329842931937173,0.253277838735207,0.642076230993965,0.652254531804963
53,~/data/simdata_v3_TS0.5_SS0.3.h5ad,7797,52,1.61605584642234,0.321116928446771,0.242137631820274,0.640076118700126,0.653787689295477
