CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
CHLD 28614 254.535156 1691762317.3461
MEM 1917.367188 1691762317.4532
CHLD 28608 52.062500 1691762317.4688
CHLD 28609 12.582031 1691762317.4688
CHLD 28610 266.613281 1691762317.4688
CHLD 28611 267.730469 1691762317.4688
CHLD 28612 279.773438 1691762317.4689
CHLD 28613 251.281250 1691762317.4689
CHLD 28614 260.410156 1691762317.4689
MEM 1945.324219 1691762317.5777
CHLD 28608 52.062500 1691762317.5986
CHLD 28609 12.582031 1691762317.5986
CHLD 28610 275.902344 1691762317.5987
CHLD 28611 271.855469 1691762317.5987
CHLD 28612 284.398438 1691762317.5987
CHLD 28613 253.531250 1691762317.5988
CHLD 28614 269.035156 1691762317.5988
MEM 2055.847656 1691762317.7064
CHLD 28608 52.062500 1691762317.7137
CHLD 28609 12.582031 1691762317.7138
CHLD 28610 279.402344 1691762317.7138
CHLD 28611 277.269531 1691762317.7138
CHLD 28612 370.152344 1691762317.7138
CHLD 28613 257.242188 1691762317.7139
CHLD 28614 276.722656 1691762317.7139
MEM 2076.597656 1691762317.8214
CHLD 28608 52.062500 1691762317.8358
CHLD 28609 12.582031 1691762317.8359
CHLD 28610 300.152344 1691762317.8359
CHLD 28611 279.644531 1691762317.8359
CHLD 28612 370.527344 1691762317.8360
CHLD 28613 267.117188 1691762317.8360
CHLD 28614 279.847656 1691762317.8360
MEM 2303.460938 1691762317.9435
CHLD 28608 52.062500 1691762317.9751
CHLD 28609 12.582031 1691762317.9752
CHLD 28610 369.687500 1691762317.9753
CHLD 28611 369.304688 1691762317.9753
CHLD 28612 448.312500 1691762317.9753
CHLD 28613 271.492188 1691762317.9753
CHLD 28614 355.640625 1691762317.9753
MEM 2433.347656 1691762318.0838
CHLD 28608 52.062500 1691762318.1145
CHLD 28609 12.582031 1691762318.1145
CHLD 28610 369.812500 1691762318.1146
CHLD 28611 370.054688 1691762318.1146
CHLD 28612 448.316406 1691762318.1146
CHLD 28613 279.679688 1691762318.1146
CHLD 28614 370.300781 1691762318.1146
MEM 2512.257812 1691762318.2361
CHLD 28608 52.062500 1691762318.2705
CHLD 28609 12.582031 1691762318.2706
CHLD 28610 426.445312 1691762318.2706
CHLD 28611 370.179688 1691762318.2706
CHLD 28612 427.125000 1691762318.2707
CHLD 28613 279.804688 1691762318.2707
CHLD 28614 370.550781 1691762318.2707
MEM 2564.332031 1691762318.3818
CHLD 28608 52.062500 1691762318.4070
CHLD 28609 12.582031 1691762318.4071
CHLD 28610 447.968750 1691762318.4072
CHLD 28611 370.304688 1691762318.4072
CHLD 28612 448.316406 1691762318.4072
CHLD 28613 358.828125 1691762318.4073
CHLD 28614 427.062500 1691762318.4073
MEM 2803.593750 1691762318.5158
CHLD 28608 52.062500 1691762318.5364
CHLD 28609 12.582031 1691762318.5365
CHLD 28610 426.785156 1691762318.5365
CHLD 28611 426.660156 1691762318.5365
CHLD 28612 469.726562 1691762318.5366
CHLD 28613 370.078125 1691762318.5366
CHLD 28614 448.496094 1691762318.5366
MEM 2883.613281 1691762318.6449
CHLD 28608 52.062500 1691762318.6584
CHLD 28609 12.582031 1691762318.6585
CHLD 28610 469.289062 1691762318.6585
CHLD 28611 447.746094 1691762318.6585
CHLD 28612 469.726562 1691762318.6586
CHLD 28613 426.710938 1691762318.6586
CHLD 28614 469.843750 1691762318.6586
MEM 2879.339844 1691762318.7683
CHLD 28608 52.062500 1691762318.7848
CHLD 28609 12.582031 1691762318.7848
CHLD 28610 469.289062 1691762318.7848
CHLD 28611 460.316406 1691762318.7849
CHLD 28612 469.726562 1691762318.7849
CHLD 28613 448.144531 1691762318.7849
CHLD 28614 448.503906 1691762318.7849
MEM 3008.007812 1691762318.8936
CHLD 28608 52.062500 1691762318.9253
CHLD 28609 12.582031 1691762318.9254
CHLD 28610 490.976562 1691762318.9254
CHLD 28611 490.691406 1691762318.9255
CHLD 28612 491.226562 1691762318.9255
CHLD 28613 469.585938 1691762318.9256
CHLD 28614 469.843750 1691762318.9256
MEM 2979.984375 1691762319.0342
CHLD 28608 52.062500 1691762319.0434
CHLD 28609 12.582031 1691762319.0434
CHLD 28610 490.976562 1691762319.0434
CHLD 28611 486.316406 1691762319.0435
CHLD 28612 491.226562 1691762319.0435
CHLD 28613 448.187500 1691762319.0435
CHLD 28614 491.468750 1691762319.0436
MEM 2987.066406 1691762319.1785
CHLD 28608 52.062500 1691762319.1849
CHLD 28609 12.582031 1691762319.1850
CHLD 28610 490.976562 1691762319.1850
CHLD 28611 447.996094 1691762319.1850
CHLD 28612 491.226562 1691762319.1850
CHLD 28613 469.589844 1691762319.1851
CHLD 28614 491.468750 1691762319.1851
MEM 3051.261719 1691762319.2942
CHLD 28608 52.062500 1691762319.3148
CHLD 28609 12.582031 1691762319.3149
CHLD 28610 500.820312 1691762319.3149
CHLD 28611 490.691406 1691762319.3149
CHLD 28612 491.226562 1691762319.3150
CHLD 28613 491.089844 1691762319.3150
CHLD 28614 491.468750 1691762319.3150
MEM 3039.480469 1691762319.4251
CHLD 28608 52.062500 1691762319.4449
CHLD 28609 12.582031 1691762319.4450
CHLD 28610 479.195312 1691762319.4450
CHLD 28611 490.691406 1691762319.4450
CHLD 28612 491.226562 1691762319.4450
CHLD 28613 491.089844 1691762319.4451
CHLD 28614 491.468750 1691762319.4451
MEM 3016.054688 1691762319.5518
CHLD 28608 52.062500 1691762319.5669
CHLD 28609 12.582031 1691762319.5670
CHLD 28610 479.195312 1691762319.5670
CHLD 28611 490.691406 1691762319.5670
CHLD 28612 458.113281 1691762319.5670
CHLD 28613 491.089844 1691762319.5671
CHLD 28614 501.156250 1691762319.5671
MEM 3047.359375 1691762319.6744
CHLD 28608 52.062500 1691762319.6921
CHLD 28609 12.582031 1691762319.6922
CHLD 28610 500.820312 1691762319.6922
CHLD 28611 500.453125 1691762319.6922
CHLD 28612 479.531250 1691762319.6923
CHLD 28613 491.089844 1691762319.6923
CHLD 28614 479.656250 1691762319.6923
MEM 2954.644531 1691762319.8023
CHLD 28608 52.062500 1691762319.8194
CHLD 28609 12.582031 1691762319.8194
CHLD 28610 457.984375 1691762319.8194
CHLD 28611 480.207031 1691762319.8195
CHLD 28612 500.910156 1691762319.8195
CHLD 28613 479.312500 1691762319.8195
CHLD 28614 479.656250 1691762319.8195
MEM 3056.964844 1691762319.9270
CHLD 28608 52.062500 1691762319.9411
CHLD 28609 12.582031 1691762319.9412
CHLD 28610 479.195312 1691762319.9412
CHLD 28611 457.867188 1691762319.9412
CHLD 28612 500.910156 1691762319.9413
CHLD 28613 479.312500 1691762319.9422
CHLD 28614 501.156250 1691762319.9423
MEM 3031.867188 1691762320.0519
CHLD 28608 52.062500 1691762320.0669
CHLD 28609 12.582031 1691762320.0670
CHLD 28610 500.820312 1691762320.0670
CHLD 28611 500.597656 1691762320.0670
CHLD 28612 479.531250 1691762320.0670
CHLD 28613 500.812500 1691762320.0671
CHLD 28614 458.421875 1691762320.0671
MEM 3035.601562 1691762320.1753
CHLD 28608 52.062500 1691762320.1883
CHLD 28609 12.582031 1691762320.1884
CHLD 28610 479.195312 1691762320.1884
CHLD 28611 500.597656 1691762320.1884
CHLD 28612 479.531250 1691762320.1885
CHLD 28613 500.812500 1691762320.1885
CHLD 28614 479.656250 1691762320.1885
MEM 3014.187500 1691762320.2953
CHLD 28608 52.062500 1691762320.3157
CHLD 28609 12.582031 1691762320.3158
CHLD 28610 479.195312 1691762320.3158
CHLD 28611 500.597656 1691762320.3159
CHLD 28612 500.910156 1691762320.3159
CHLD 28613 458.019531 1691762320.3159
CHLD 28614 479.656250 1691762320.3159
MEM 2995.808594 1691762320.4248
CHLD 28608 52.062500 1691762320.4432
CHLD 28609 12.582031 1691762320.4432
CHLD 28610 500.820312 1691762320.4433
CHLD 28611 457.882812 1691762320.4433
CHLD 28612 479.562500 1691762320.4433
CHLD 28613 479.390625 1691762320.4434
CHLD 28614 458.421875 1691762320.4434
MEM 2992.996094 1691762320.5534
CHLD 28608 52.062500 1691762320.5656
CHLD 28609 12.582031 1691762320.5657
CHLD 28610 479.195312 1691762320.5657
CHLD 28611 457.882812 1691762320.5657
CHLD 28612 479.562500 1691762320.5657
CHLD 28613 500.890625 1691762320.5658
CHLD 28614 479.656250 1691762320.5658
MEM 2992.917969 1691762320.6729
CHLD 28608 52.062500 1691762320.6941
CHLD 28609 12.582031 1691762320.6941
CHLD 28610 484.445312 1691762320.6942
CHLD 28611 457.882812 1691762320.6942
CHLD 28612 487.566406 1691762320.6942
CHLD 28613 458.097656 1691762320.6942
CHLD 28614 481.531250 1691762320.6943
MEM 3035.878906 1691762320.8018
CHLD 28608 52.062500 1691762320.8120
CHLD 28609 12.582031 1691762320.8120
CHLD 28610 457.984375 1691762320.8121
CHLD 28611 500.597656 1691762320.8121
CHLD 28612 500.941406 1691762320.8121
CHLD 28613 479.390625 1691762320.8121
CHLD 28614 501.156250 1691762320.8122
MEM 2950.234375 1691762320.9191
CHLD 28608 52.062500 1691762320.9350
CHLD 28609 12.582031 1691762320.9350
CHLD 28610 479.195312 1691762320.9350
CHLD 28611 457.867188 1691762320.9351
CHLD 28612 479.562500 1691762320.9351
CHLD 28613 500.878906 1691762320.9351
CHLD 28614 458.410156 1691762320.9352
MEM 3057.296875 1691762321.0419
CHLD 28608 52.062500 1691762321.0516
CHLD 28609 12.582031 1691762321.0517
CHLD 28610 500.820312 1691762321.0517
CHLD 28611 500.582031 1691762321.0518
CHLD 28612 479.562500 1691762321.0518
CHLD 28613 500.878906 1691762321.0519
CHLD 28614 479.644531 1691762321.0519
MEM 2950.210938 1691762321.1594
CHLD 28608 52.062500 1691762321.1770
CHLD 28609 12.582031 1691762321.1770
CHLD 28610 479.195312 1691762321.1771
CHLD 28611 500.582031 1691762321.1771
CHLD 28612 458.144531 1691762321.1771
CHLD 28613 458.046875 1691762321.1771
CHLD 28614 479.644531 1691762321.1772
MEM 2992.894531 1691762321.2849
CHLD 28608 52.062500 1691762321.3144
CHLD 28609 12.582031 1691762321.3145
CHLD 28610 479.195312 1691762321.3145
CHLD 28611 457.867188 1691762321.3146
CHLD 28612 479.613281 1691762321.3146
CHLD 28613 479.339844 1691762321.3146
CHLD 28614 458.335938 1691762321.3147
MEM 3077.769531 1691762321.4221
CHLD 28608 52.062500 1691762321.4392
CHLD 28609 12.582031 1691762321.4393
CHLD 28610 500.726562 1691762321.4393
CHLD 28611 500.582031 1691762321.4393
CHLD 28612 500.992188 1691762321.4394
CHLD 28613 500.839844 1691762321.4394
CHLD 28614 479.570312 1691762321.4394
MEM 2980.488281 1691762321.5476
CHLD 28608 52.062500 1691762321.5645
