CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
MEM 2487.855469 1691760747.2027
CHLD 25956 51.957031 1691760747.2160
CHLD 25957 12.582031 1691760747.2160
CHLD 25958 480.710938 1691760747.2160
CHLD 25959 459.093750 1691760747.2161
CHLD 25960 480.589844 1691760747.2161
CHLD 25961 470.792969 1691760747.2161
MEM 2572.316406 1691760747.3242
CHLD 25956 51.957031 1691760747.3428
CHLD 25957 12.582031 1691760747.3428
CHLD 25958 502.210938 1691760747.3428
CHLD 25959 459.093750 1691760747.3428
CHLD 25960 502.089844 1691760747.3429
CHLD 25961 492.292969 1691760747.3429
MEM 2530.722656 1691760747.4653
CHLD 25956 51.957031 1691760747.4733
CHLD 25957 12.582031 1691760747.4733
CHLD 25958 480.710938 1691760747.4734
CHLD 25959 501.679688 1691760747.4734
CHLD 25960 459.371094 1691760747.4734
CHLD 25961 492.292969 1691760747.4734
MEM 2530.855469 1691760747.5891
CHLD 25956 51.957031 1691760747.6223
CHLD 25957 12.582031 1691760747.6224
CHLD 25958 502.210938 1691760747.6224
CHLD 25959 501.679688 1691760747.6224
CHLD 25960 480.589844 1691760747.6224
CHLD 25961 492.292969 1691760747.6224
MEM 2548.160156 1691760747.7295
CHLD 25956 51.957031 1691760747.7363
CHLD 25957 12.582031 1691760747.7364
CHLD 25958 459.429688 1691760747.7364
CHLD 25959 501.679688 1691760747.7364
CHLD 25960 502.089844 1691760747.7364
CHLD 25961 492.292969 1691760747.7365
MEM 2518.875000 1691760747.8444
CHLD 25956 51.957031 1691760747.8589
CHLD 25957 12.582031 1691760747.8589
CHLD 25958 480.710938 1691760747.8589
CHLD 25959 501.679688 1691760747.8590
CHLD 25960 480.589844 1691760747.8590
CHLD 25961 459.226562 1691760747.8590
MEM 2540.296875 1691760747.9658
CHLD 25956 51.957031 1691760747.9718
CHLD 25957 12.582031 1691760747.9718
CHLD 25958 459.429688 1691760747.9718
CHLD 25959 501.679688 1691760747.9719
CHLD 25960 502.089844 1691760747.9719
CHLD 25961 480.429688 1691760747.9719
MEM 2528.492188 1691760748.0789
CHLD 25956 51.957031 1691760748.0955
CHLD 25957 12.582031 1691760748.0955
CHLD 25958 480.730469 1691760748.0955
CHLD 25959 501.679688 1691760748.0956
CHLD 25960 459.371094 1691760748.0956
CHLD 25961 502.042969 1691760748.0956
MEM 2519.000000 1691760748.2024
CHLD 25956 51.957031 1691760748.2110
CHLD 25957 12.582031 1691760748.2110
CHLD 25958 502.230469 1691760748.2111
CHLD 25959 459.093750 1691760748.2111
CHLD 25960 480.589844 1691760748.2112
CHLD 25961 480.417969 1691760748.2112
MEM 2497.757812 1691760748.3180
CHLD 25956 51.957031 1691760748.3378
CHLD 25957 12.582031 1691760748.3379
CHLD 25958 459.414062 1691760748.3379
CHLD 25959 459.167969 1691760748.3380
CHLD 25960 502.089844 1691760748.3380
CHLD 25961 502.042969 1691760748.3381
MEM 2497.539062 1691760748.4460
CHLD 25956 51.957031 1691760748.4578
CHLD 25957 12.582031 1691760748.4578
CHLD 25958 480.695312 1691760748.4578
CHLD 25959 459.167969 1691760748.4579
CHLD 25960 480.589844 1691760748.4579
CHLD 25961 480.417969 1691760748.4579
MEM 2540.539062 1691760748.5646
CHLD 25956 51.957031 1691760748.5816
CHLD 25957 12.582031 1691760748.5817
CHLD 25958 459.414062 1691760748.5817
CHLD 25959 459.167969 1691760748.5817
CHLD 25960 502.089844 1691760748.5818
CHLD 25961 502.042969 1691760748.5818
MEM 2455.117188 1691760748.6882
CHLD 25956 51.957031 1691760748.7051
CHLD 25957 12.582031 1691760748.7051
CHLD 25958 480.695312 1691760748.7051
CHLD 25959 459.667969 1691760748.7052
CHLD 25960 480.589844 1691760748.7052
CHLD 25961 459.214844 1691760748.7052
MEM 2561.625000 1691760748.8123
CHLD 25956 51.957031 1691760748.8183
CHLD 25957 12.582031 1691760748.8184
CHLD 25958 502.195312 1691760748.8184
CHLD 25959 501.753906 1691760748.8185
CHLD 25960 480.589844 1691760748.8185
CHLD 25961 480.417969 1691760748.8185
MEM 2519.203125 1691760748.9253
CHLD 25956 51.957031 1691760748.9316
CHLD 25957 12.582031 1691760748.9317
CHLD 25958 502.195312 1691760748.9317
CHLD 25959 501.753906 1691760748.9317
CHLD 25960 459.371094 1691760748.9318
CHLD 25961 459.214844 1691760748.9318
MEM 2504.125000 1691760749.0397
CHLD 25956 51.957031 1691760749.0482
CHLD 25957 12.582031 1691760749.0483
CHLD 25958 480.695312 1691760749.0483
CHLD 25959 465.753906 1691760749.0483
CHLD 25960 480.589844 1691760749.0484
CHLD 25961 480.417969 1691760749.0484
MEM 2583.199219 1691760749.1648
CHLD 25956 51.957031 1691760749.1873
CHLD 25957 12.582031 1691760749.1874
CHLD 25958 480.695312 1691760749.1874
CHLD 25959 459.167969 1691760749.1875
CHLD 25960 502.089844 1691760749.1875
CHLD 25961 501.992188 1691760749.1875
MEM 2476.406250 1691760749.2940
CHLD 25956 51.957031 1691760749.3007
CHLD 25957 12.582031 1691760749.3007
CHLD 25958 459.449219 1691760749.3007
