"","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"ATRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166469832514845,0.0205140313123034,0.0450713081832799,0.0741816735591411,0.107590338499398,0.144264286234103,0.18349547535916,0.227507479179634,0.270079605878834,0.308908149121081,0.343260115357713,0.375702974286138,0.4033287155498,0.430444269828214,0.460559616884875,0.490108867737407,0.519421039843279,0.546540977808908,0.57657352769156,0.605579697850549,0.635441864112977,0.665103128135156
"ATXN10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115483947070754,0.00547281253849692,0.0187021665510051,0.0369034877686483,0.0566890942531524,0.0752239904847414,0.0925133375800745,0.111448233567871,0.131171112091741,0.151974485670174,0.17420528050401,0.19907579039232,0.226293423327843
"ATXN7L3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZGP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266809271719866,0.0668352514747206,0.104682496866836,0.136178176066181,0.167381234371807,0.196103450464115,0.227661670838321,0.261092410162206,0.283903574524018,0.310503293665737,0.337528332174202,0.363039076098007,0.38978833541729,0.417037910517986,0.435140501699799,0.457698522340607,0.483363362865026,0.507391094209689,0.529652078455081,0.553711813356004,0.578846388788249,0.606189497397818,0.637420143146442,0.672367410809625,0.711353737551626,0.75719931346506,0.808360292474727,0.864644517956733
"B3GNT5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BBS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIRC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156795671694414,0.0408342210784716,0.0777654624201388,0.12003693538167,0.161513185483263,0.199370151616909,0.250319957600413,0.305572561993617,0.363168296308992,0.418928335930302,0.470247131949512,0.519269857693731,0.567325070456233,0.613552980542359,0.660103293169479,0.703276905097465,0.745873504262472,0.78412711503342,0.816878527282647,0.847394373363251
"BMPR1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPGM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00360139599263615,0.0222973632108707,0.0392550149036731,0.0459130210042273,0.0467571692266708,0.0446551641776212,0.0388012356877904,0.0327615728883785,0.0128440262392199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTAF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00763566840081068,-0.0328725327500824,-0.0573832838781434,-0.0779870374673511,-0.09720501469698,-0.114521791954838,-0.136764651816466,-0.159764554981382,-0.184525383477575,-0.207328435110479,-0.234267563010717,-0.263844229326203,-0.294345158590704,-0.324768349887171,-0.354437350738761,-0.382899043185336,-0.412733629554175,-0.443239501089058,-0.474893059559375,-0.506310074599571
